Date of Bleed,Tag trimmed,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),0,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),0
5/29/15,16282,12/7/14,9.42,1.36,7.13,0.52,,9.57,15,44.9,46.9,15.7,33.4,19.7,961,5.7,no note
5/29/15,16422,1/6/15,16,2.23,12.36,1.09,,6.6,6.7,27.2,41.2,10.2,24.6,25.9,187,7,no note
5/29/15,16508,1/8/15,13.72,0.99,12,0.72,,10.54,14.9,46,43.6,14.1,32.4,18.4,1313,4.2,no note
5/29/15,16549-0-TX0,-,15.1,1.15,13.09,0.86,,10.3,13,42.1,40.9,12.6,30.9,19.1,1172,4.8,Transplant Mice 2-6-15
5/29/15,16550-0-TX0,-,14.22,1.76,11.42,0.92,,9.61,12.3,40.9,42.6,12.8,30.1,19.3,1016,5,Transplant Mice 2-6-15
5/29/15,16551-0-TX0,-,18.64,3.62,13.79,0.94,,10.02,14.2,48.8,48.7,14.2,29.1,22.5,598,5.2,Transplant Mice 2-6-15
5/29/15,16552-0-TX0,-,15.02,2.34,11.76,0.78,,10.63,14.3,47.4,44.6,13.5,30.2,18.5,857,4.9,Transplant Mice 2-6-15
5/29/15,16553-0-TX0,-,11.16,0.9,9.71,0.55,,9.64,12.9,42.5,44.1,13.4,30.4,18.6,1284,4.8,Transplant Mice 2-6-15
5/29/15,16554-0-TX0,-,13.22,1.42,10.93,0.85,,9.39,12.8,43.5,46.3,13.6,29.4,18.6,902,4.5,Transplant Mice 2-6-15
5/29/15,16555-0-TX0,-,12.44,2.78,9.37,0.27,,10.36,13.8,46.1,44.5,13.3,29.9,19,1346,5.1,Transplant Mice 2-6-15
5/29/15,16556-0-TX0,-,12.5,1.16,10.65,0.68,,9.57,12.4,42.2,44.1,13,29.4,18.6,827,4.4,Transplant Mice 2-6-15
5/29/15,16557-0-TX0,-,12.28,1.99,9.44,0.72,,9.78,13.4,47.4,48.5,13.7,28.3,20.8,670,4.8,Transplant Mice 2-6-15
5/29/15,16558-0-TX0,-,6.38,1.07,4.45,0.33,,10.16,13.2,45.4,44.7,13,29.1,19.4,483,4.7,Transplant Mice 2-6-15
5/29/15,16559-0-TX0,-,9.82,0.82,8.33,0.67,,10.53,13.5,45.4,43.1,12.8,29.7,19.5,666,4.3,Transplant Mice 2-6-15
5/29/15,16560-0-TX0,-,15.92,2.89,11.92,0.71,,10.45,13.4,46.2,44.2,12.8,29,19,978,4.6,Transplant Mice 2-6-15
5/29/15,16561-0-TX0,-,10.58,0.85,9.19,0.53,,10.35,13,44.3,42.8,12.6,29.3,19.4,617,4.1,Transplant Mice 2-6-15
5/29/15,16562-0-TX0,-,14.2,1.57,11.79,0.83,,10.35,13.3,43.8,42.3,12.9,30.4,18.5,943,4.3,Transplant Mice 2-6-15
5/29/15,16563-0-TX0,-,17.36,2.02,14.36,0.9,,10.06,13.3,44.1,43.8,13.2,30.2,18.4,700,4.5,Transplant Mice 2-6-15
5/29/15,16564-0-TX0,-,11.08,1.32,9.23,0.52,,9.59,12.2,40.7,42.4,12.7,30,18.5,942,4.5,Transplant Mice 2-6-15
5/29/15,16565-0-TX0,-,10.16,1.47,7.82,0.45,,9.71,12.4,40.3,41.5,12.8,30.8,18.4,562,5,Transplant Mice 2-6-15
5/29/15,16566-0-TX0,-,9.54,2.75,5.79,0.54,,10.06,13.4,43.7,43.4,13.3,30.7,17.6,731,5.3,Transplant Mice 2-6-15
5/29/15,16567-0-TX0,-,13.3,2.09,10.53,0.57,,9.45,13.3,43.7,46.2,14.1,30.4,19.1,491,5.4,Transplant Mice 2-6-15
5/29/15,16568-0-TX0,-,12.46,1.81,9.94,0.69,,10.64,14,45.6,42.9,13.2,30.7,18.7,713,4.4,Transplant Mice 2-6-15
5/29/15,16895,2/19/15,11.42,1.25,9.41,0.74,,11.38,15.4,49.2,43.2,13.5,31.3,17.6,954,4.3,no note
5/29/15,16896,2/19/15,2.14,0.41,1.57,0.14,,9.5,14.9,52.2,54.9,15.7,28.5,22,437,5.8,no note
5/29/15,16901,2/22/15,74.66,21.75,37.5,13.28,,9.21,12.9,41.3,44.8,14,31.2,24.7,460,6.2,no note
5/29/15,16963,3/2/15,10.48,2.25,7.29,0.67,,10.22,15.2,43.9,43,14.9,34.6,18.1,1117,4.7,no note
5/29/15,16980,3/5/15,1.2,0.07,1.05,0.09,,6.57,11,39.9,60.8,16.7,27.6,20.6,289,5.3,no note
5/29/15,17014,3/5/15,14.46,8.23,2.9,0.51,,10.74,3.5,52.4,48.8,3.3,6.7,20.7,941,5,no note
5/29/15,17015,3/5/15,18.46,3.15,13.36,0.85,,11.99,16.9,51.4,42.9,14.1,32.9,17.7,1300,4.3,no note
5/29/15,17020,3/13/15,7.82,0.62,6.86,0.33,,11.49,16.1,47.7,41.5,14,33.8,18.2,1000,4.3,no note
5/29/15,17038,3/14/15,14.56,1.61,12.37,0.55,,12.61,17.9,66.1,52.4,14.2,27.1,17.8,1351,4.8,no note
5/29/15,17087,3/16/15,1.32,0.11,1.01,0.19,,7.03,12.5,46,65.4,17.8,27.2,24.5,152,6.7,no note
5/29/15,17090,3/16/15,8.54,1.1,7.04,0.38,,10.42,15.5,53.1,51,14.9,29.2,17.3,979,4.3,no note
5/29/15,17172,4/10/15,11.62,1.03,10.13,0.45,,9.93,14.4,46,46.3,14.5,31.3,18.6,1118,4.2,no note
5/29/15,17173,4/10/15,13.52,1.46,11.45,0.6,,11.94,16.7,55.2,46.2,14,30.3,18.6,1477,4.4,no note
5/29/15,17174,4/10/15,13.62,2.32,10.27,0.99,,10.18,14.9,48.3,47.4,14.6,30.8,17.8,1310,4.6,no note
5/29/15,17175,4/10/15,11.4,1.11,9.76,0.51,,8.21,14.7,37.7,45.9,17.9,39,19.5,940,4.6,no note
5/29/15,16285*,12/7/14,1.66,0.78,0,0,,0.39,0,,,,,,507,6.6,no note
5/29/15,Control ,-,8.82,1.46,7.1,0.25,,11.44,14.9,48.6,42.5,13,30.7,17.9,1026,4.5,no note
Date of Bleed,0,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),no note
6/5/15,16895,2/19/15,13.2,0.89,11.23,1.06,,10.67,13.6,47.4,44.4,12.7,28.7,23.6,804,4,no note
6/5/15,16896,2/19/15,1.9,0.29,1.45,0.16,,7.68,11.2,40.2,52.3,14.6,27.9,21.2,508,5.1,no note
6/5/15,16901,2/22/15,90.16,77.23,4.75,1.05,,10.15,14.4,42.8,42.2,14.2,33.6,27.2,583,7.2,no note
6/5/15,17087,3/16/15,1.28,0.26,0.86,0.14,,5.49,9.3,34.6,63,16.9,26.9,29.5,239,6.8,no note
6/5/15,17090,3/16/15,7.7,0.55,6.58,0.56,,10.34,14.5,46.7,45.2,14,31,17.4,887,3.9,no note
6/5/15,17301,5/7/15,1.86,0.07,1.67,0.11,,7.19,12,42.3,58.9,16.7,28.4,17.9,465,4.4,no note
6/5/15,16282,12/7/14,12.74,1.14,10.83,0.74,,10.12,13.7,44.8,44.3,13.5,30.6,19.6,1127,4.7,no note
6/5/15,16285,12/7/14,14.24,2.48,8.63,3.1,,4.74,7.4,25.8,54.4,15.6,28.7,22,109,6.1,no note
6/5/15,16960,3/2/15,9.84,1.17,7.9,0.76,,10.43,14.3,48,46,13.7,29.8,19.7,1256,4,no note
6/5/15,16963,3/2/15,10.48,0.3,9.55,0.62,,10.71,13.9,48.8,45.6,13,28.5,17.6,1536,4.6,no note
6/5/15,16980,3/5/15,1.52,0.03,1.34,0.15,,6.1,1.8,33,54.1,3,5.5,20.1,157,6.5,no note
6/5/15,17014,3/5/15,9.12,0.5,8.15,0.47,,11.1,14.8,57.5,51.8,13.3,25.7,25.4,889,4,no note
6/5/15,17015,3/5/15,6.32,0.39,5.54,0.37,,8.58,11.2,38,44.3,13.1,29.5,18.4,736,4.5,no note
6/5/15,17038,3/14/15,12.18,1.68,9.57,0.79,,9.98,13.7,45.4,45.5,13.7,30.2,18.5,741,4.4,no note
6/5/15,17071,3/18/15,12.08,2.76,8.38,0.92,,10.42,14.4,44.3,42.5,13.8,32.5,17.9,864,4,no note
6/5/15,17139,4/3/15,8.42,0.58,7.17,0.63,,,11.6,,50.2,4.3,8.6,44.7,,5.7,no note
6/5/15,17172,4/10/15,11.74,0.52,10.68,0.5,,8.83,11.6,37.2,42.1,13.1,31.2,17.1,730,3.9,no note
6/5/15,17173,4/10/15,11.86,0.75,10.6,0.51,,10.37,13.9,44.8,43.2,13.4,31,17.6,1003,3.8,no note
6/5/15,17174,4/10/15,14.58,0.79,12.95,0.84,,9.88,12.7,41.9,42.4,12.9,30.3,16.9,917,3.7,no note
6/5/15,17175,4/10/15,8.82,0.92,7.28,0.55,,17.04,12.5,72.6,42.6,7.3,17.2,26.1,,4.8,no note
6/5/15,17176,4/12/15,7.5,0.48,6.42,0.53,,8.89,11.9,39.8,44.8,13.4,29.9,17.5,722,4.4,no note
6/5/15,17270,5/3/15,7.58,0.46,6.56,0.42,,7.57,10.9,39.6,52.3,14.4,27.5,19.3,735,4.7,no note
6/5/15,17280,5/5/15,11.12,1.18,9.15,0.76,,8.26,12.4,40.1,48.6,15,30.9,21,916,4.7,no note
6/5/15,17283,5/5/15,10.4,0.77,8.88,0.73,,9.42,13.1,44,46.7,13.9,29.8,18.8,938,3.9,no note
6/5/15,17285,5/4/15,9.46,1.35,7.32,0.79,,9.82,14.1,45.3,46.1,14.4,31.1,20.9,728,3.9,no note
6/5/15,17286,5/4/15,10.82,1.13,8.78,0.87,,7.93,12.5,40.4,50.9,15.8,30.9,18.2,624,4.4,no note
6/5/15,17291,5/6/15,6.14,0.55,5.2,0.36,,7.5,10.6,36.1,48.1,14.1,29.4,18.4,642,4.7,no note
